epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3046.63,1.0043,2.75868,1.27613,0.64835,0.57425,0.61748,0.43295,0.99451,2.00739,1.23838,0.000138612,0.000138612,0.000138612
2,6100.86,1.07552,1.96446,1.32861,0.65125,0.55581,0.59564,0.39877,1.11879,1.89358,1.30941,0.00026387,0.00026387,0.00026387
3,9163.91,1.09876,1.91542,1.34756,0.63511,0.52641,0.57258,0.38421,1.13236,1.86619,1.34387,0.000375367,0.000375367,0.000375367
4,12303.1,1.09451,1.86673,1.34391,0.6522,0.53932,0.58743,0.3985,1.1161,1.79912,1.3302,0.000355076,0.000355076,0.000355076
5,15366.2,1.07765,1.76022,1.33907,0.64832,0.54037,0.58951,0.39257,1.12074,1.74079,1.33613,0.000334434,0.000334434,0.000334434
6,18430.3,1.06822,1.67767,1.32736,0.65896,0.55601,0.60885,0.40749,1.12235,1.62781,1.32064,0.000313792,0.000313792,0.000313792
7,21536.5,1.04822,1.61068,1.31331,0.68844,0.57244,0.63412,0.43607,1.08562,1.51099,1.29753,0.000293151,0.000293151,0.000293151
8,24646.5,1.02008,1.52882,1.29687,0.70598,0.57057,0.63312,0.43378,1.08174,1.52393,1.31111,0.000272509,0.000272509,0.000272509
9,27699.5,0.9974,1.47454,1.27508,0.70283,0.60666,0.66242,0.4635,1.05343,1.40764,1.27827,0.000251868,0.000251868,0.000251868
10,30756.9,0.99644,1.43297,1.26996,0.71868,0.59192,0.66426,0.46624,1.04331,1.38467,1.27271,0.000231226,0.000231226,0.000231226
11,33792.8,0.99476,1.38487,1.28344,0.72765,0.59929,0.67445,0.47392,1.03992,1.36058,1.26865,0.000210585,0.000210585,0.000210585
12,36830.1,0.97088,1.2894,1.2597,0.75446,0.59839,0.68012,0.47867,1.03394,1.33464,1.25833,0.000189943,0.000189943,0.000189943
13,39869.3,0.93774,1.21407,1.22878,0.75201,0.6162,0.69402,0.49298,1.02299,1.28369,1.25158,0.000169302,0.000169302,0.000169302
14,42902.7,0.91764,1.15072,1.21662,0.74667,0.62961,0.69627,0.49835,1.02169,1.25443,1.24442,0.00014866,0.00014866,0.00014866
15,45961.3,0.89766,1.10246,1.19882,0.73907,0.64038,0.69978,0.5017,1.00469,1.23058,1.23114,0.000128019,0.000128019,0.000128019
16,49014.6,0.88174,1.06905,1.18925,0.75683,0.63314,0.70628,0.50939,1.001,1.21592,1.23255,0.000107378,0.000107378,0.000107378
17,52052.4,0.86906,1.03001,1.17487,0.77198,0.63484,0.71716,0.52067,0.99267,1.17656,1.2215,8.6736e-05,8.6736e-05,8.6736e-05
18,55088,0.8532,0.99148,1.16544,0.77199,0.64452,0.72082,0.52325,0.97988,1.16546,1.21141,6.60945e-05,6.60945e-05,6.60945e-05
19,58120.8,0.83253,0.95446,1.14619,0.78157,0.64446,0.72284,0.5271,0.97085,1.14556,1.20273,4.5453e-05,4.5453e-05,4.5453e-05
20,61166.6,0.81794,0.92972,1.13995,0.78856,0.64369,0.72806,0.5317,0.9701,1.12851,1.20315,2.48115e-05,2.48115e-05,2.48115e-05
